network,tx_hash,timestamp,source_account,contract_name,contract_id,function_name,op_type,status
Testnet,7546048ae6b11dae194a1da0b48a612e84a3c174723e74e8470b861800ac62ea,2026-07-10T23:33:30Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,5a11bd65b7ebc094e22e9d9844773207b400de7b7634ae4bb0856289c5a45bbf,2026-07-10T23:33:25Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,edea584c00d1730e48187241213b06640738d245797e6aebac12fd3410f09293,2026-07-10T23:33:20Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,82440e2de7bc0cbba6f97f505f405050de16c23e44d67d9f1ab1e2b1de2f175b,2026-07-10T23:33:15Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,dda6ef7cc9665c308456ac3eb1222daa626e1a86bb181e97d2a0f14ec3d89a26,2026-07-10T23:33:10Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,c577940f1280119a7bc15c62e2412863f9c898b3b99dd20d30e1dc58244b65d1,2026-07-10T23:33:05Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Compliance,CAFU624RJD3QLLGL4J7TX5C43JBGLHTPRWB5VLWU3ED4DHIR6PC6R5US,set_issuer,invoke_host_function,SUCCESS
Testnet,b3ca67d8bbe305681247b036e56d073defb0a3368505c4e24e5601b754c8870f,2026-07-10T18:18:22Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Core Pool,CBHSTINK374ABHBJ7MK347ICJ6JKVSTD72Y5BGZN5V6BJGLNKYYFEI3O,supply,invoke_host_function,SUCCESS
Testnet,f548b524cb3a1c1444afbf5c1e21f34c2431cdf6f4aa5c4f76530c75785a520e,2026-07-10T18:18:17Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,ERGO Protocol Token,CDYJFYG7X4DPMAOQUUTYEK5KAOSTI7LEG4VDVSZ6KZQFM66LFHSLVBLZ,approve,invoke_host_function,SUCCESS
Testnet,dc2e9fade2547815b104dad920f1b1adfcf10623adc3a18a7bd51f51fab99ebd,2026-07-10T18:18:12Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Core Pool,CBHSTINK374ABHBJ7MK347ICJ6JKVSTD72Y5BGZN5V6BJGLNKYYFEI3O,supply,invoke_host_function,SUCCESS
Testnet,634b25e3ea764049ec81dd130b13f45a8a657c229a8b276538103c80f7c87159,2026-07-10T18:18:07Z,GCLYB6KF54YF6J5QVBJXW3TBU634GZ5X45CWHKGL5Y42VSXD2OBOIWBL,Stellar Asset Contract (WETH),CC2DS3NYQJ5XSLWQWREIHJVIGW6KCVOB2E4IIKQ3KNXN647GLMJKDMJ5,approve,invoke_host_function,SUCCESS
